,date,start,high,low,end
0,20190102,61300,61400,60000,60600
1,20190103,60200,60300,57500,57700
2,20190104,57500,58500,56700,58300
3,20190107,59000,59700,58400,58700
4,20190108,57900,60500,57600,59200
5,20190109,59600,63800,59400,63600
6,20190110,64100,65600,64000,65300
7,20190111,65400,65900,64200,65100
8,20190114,64300,65100,62000,62100
9,20190115,62200,64000,62200,64000
10,20190116,63800,64900,62700,64800
11,20190117,65500,66200,64600,64900
12,20190118,65000,65700,63900,64600
13,20190121,65900,67400,65000,67000
14,20190122,67900,68000,65700,66600
15,20190123,65500,67200,64800,66800
16,20190124,66900,70500,66900,70500
17,20190125,71600,74800,71100,74600
18,20190128,74700,74900,71200,71800
19,20190129,71400,73800,71000,73400
20,20190130,73500,76300,73000,75900
21,20190131,76900,77100,73700,73900
22,20190201,75400,76400,74700,75900
23,20190207,77500,78200,76600,76700
24,20190208,75200,75500,73000,73500
25,20190211,73000,74100,72200,74100
26,20190212,74100,76400,73900,75900
27,20190213,77300,77600,76100,76200
28,20190214,75800,77400,75100,77400
29,20190215,76800,76900,73800,73800
30,20190218,74300,75300,74000,74700
31,20190219,74500,74800,73000,73700
32,20190220,73700,76000,73600,75700
33,20190221,75300,77200,74600,76700
34,20190222,75600,76700,75300,76700
35,20190225,77300,77600,74800,75400
36,20190226,75000,75900,74100,75200
37,20190227,75300,75700,73700,73700
38,20190228,72500,72600,69900,70000
39,20190304,70300,71400,69900,70100
40,20190305,68300,70000,68300,69700
41,20190306,68500,69600,67400,68100
42,20190307,67200,68900,67100,68100
43,20190308,67900,68200,66200,66700
44,20190311,67000,67800,66200,66600
45,20190312,67700,68600,67500,67700
46,20190313,67700,67800,65900,66800
47,20190314,67400,67400,66400,67300
48,20190315,67400,68700,66700,68100
49,20190318,69200,69300,67300,67800
50,20190319,67300,68000,66600,68000
51,20190320,68400,70600,67600,70500
52,20190321,73500,76000,72600,75900
53,20190322,78900,78900,75900,76100
54,20190325,73700,74200,72600,72900
55,20190326,72900,73300,71500,72700
56,20190327,71800,74100,71200,73400
57,20190328,72300,73600,71700,72300
58,20190329,72900,74900,72700,74200
59,20190401,75600,77100,75500,76600
60,20190402,77900,78000,76100,76400
61,20190403,76800,79900,76500,79900
62,20190404,80400,81400,77800,78400
63,20190405,78200,79300,77900,79000
64,20190408,78900,79200,77600,77900
65,20190409,77700,78700,77400,77800
66,20190410,76700,78800,76200,78600
67,20190411,79200,79500,78000,78400
68,20190412,77400,78800,77400,78100
69,20190415,79000,79900,78600,79700
70,20190416,79900,80800,79100,80400
71,20190417,81000,82300,80000,80200
72,20190418,80800,81200,78500,79200
73,20190419,80500,82400,80100,81800
74,20190422,81500,81800,79900,80500
75,20190423,81000,81800,80400,81000
76,20190424,81500,81500,77500,78500
77,20190425,78400,81500,78100,80200
78,20190426,78500,79900,77600,78600
79,20190429,78700,80100,78200,80000
80,20190430,79400,80700,78100,79000
81,20190502,79700,81200,79100,80700
82,20190503,81100,81300,80300,80400
83,20190507,79200,80400,78700,79900
84,20190508,78700,80500,78000,80300
85,20190509,79600,79700,75200,76000
86,20190510,76100,76700,73400,74400
87,20190513,73900,75000,72800,73500
88,20190514,72200,75100,71600,74600
89,20190515,74800,75100,73900,74500
90,20190516,74400,75100,71600,71900
91,20190517,72500,73300,71400,71600
92,20190520,71800,72800,70700,70900
93,20190521,70500,72200,69700,70300
94,20190522,71300,71300,68500,68900
95,20190523,68400,69100,67300,68000
96,20190524,67300,68600,67000,67600
97,20190527,67900,68200,66400,66900
98,20190528,67200,68300,65900,65900
99,20190529,65600,66700,64900,66100
100,20190530,66300,66900,65800,65900
101,20190531,65900,66900,64700,65300
102,20190603,65200,67200,64200,66600
103,20190604,66500,66700,65100,65100
104,20190605,66900,67600,64900,65100
105,20190607,65200,66000,64600,65400
106,20190610,66100,67000,65800,66800
107,20190611,66900,67800,66700,67200
108,20190612,66800,67100,65700,65700
109,20190613,64900,65100,63300,63500
110,20190614,63200,64000,62600,63100
111,20190617,62800,63800,62400,63700
112,20190618,63800,64200,63300,63400
113,20190619,65800,67300,65200,67200
114,20190620,67200,67400,66200,67300
115,20190621,67100,67300,65900,65900
116,20190624,65900,67400,65600,66900
117,20190625,66700,67400,66300,66700
118,20190626,68300,69600,67900,68900
119,20190627,70100,71600,69700,70200
120,20190628,70900,70900,68400,69500
121,20190701,71000,71000,69700,70000
122,20190702,69700,71700,69100,71400
123,20190703,71100,71700,69000,69100
124,20190704,69600,70700,69300,70200
125,20190705,70300,71000,68400,68400
126,20190708,66400,68000,66200,67400
127,20190709,68400,70500,67900,69800
128,20190710,71500,73400,71000,72900
129,20190711,74000,75500,74000,75500
130,20190712,75600,75800,74400,74700
131,20190715,74500,76500,74400,76200
132,20190716,74800,76500,74800,76100
133,20190717,74600,75200,74000,74600
134,20190718,74300,75200,73900,74700
135,20190719,75900,77000,75600,76800
136,20190722,77800,79200,77000,78400
137,20190723,79700,80700,78200,78800
138,20190724,78800,80200,77100,77600
139,20190725,79700,80400,77700,79200
140,20190726,78100,80300,78000,79800
141,20190729,79000,79400,76500,77000
142,20190730,78200,80000,77700,78900
143,20190731,78000,79100,75300,76900
144,20190801,75300,78700,75300,77700
145,20190802,75400,76800,74900,76100
146,20190805,75500,76000,74900,75400
147,20190806,73100,73900,71900,72000
148,20190807,72000,74300,72000,73300
149,20190808,73600,74500,72000,72300
150,20190809,73200,74100,72300,73300
151,20190812,73700,75000,73500,74500
152,20190813,74000,75100,73700,74500
153,20190814,77200,77900,76200,76900
154,20190816,75800,76400,75100,76400
155,20190819,77300,77500,74800,75100
156,20190820,75500,76600,75100,76400
157,20190821,75900,76900,75500,75800
158,20190822,75300,76000,73800,73800
159,20190823,73500,75200,73400,74400
160,20190826,72600,73000,71500,71800
161,20190827,72500,73700,72500,73000
162,20190828,73500,73700,72500,73300
163,20190829,73500,74100,72000,73300
164,20190830,74600,78000,74600,77400
165,20190902,77000,78200,76500,77600
166,20190903,77200,77600,76300,77000
167,20190904,77400,80000,77300,80000
168,20190905,81400,83000,81200,83000
169,20190906,84000,84000,81500,81900
170,20190909,83100,84600,82500,84300
171,20190910,84200,84200,82700,83100
172,20190911,83400,84300,81300,82600
173,20190916,81000,81000,79000,79500
174,20190917,80000,80400,79100,79400
175,20190918,80100,80600,79500,80200
176,20190919,80600,82700,80300,82700
177,20190920,82800,83400,82100,82200
178,20190923,81900,83300,81900,82800
179,20190924,82500,83500,81400,83400
180,20190925,82200,82800,81500,81900
181,20190926,83000,83500,82500,83300
182,20190927,80200,81500,80100,81400
